"site","week.order","treatment","count"
"eight","6","0",2
"eight","7","0",5
"eight","8","0",6
"eight","9","0",1
"eight","10","0",0
"eight","1","0",0
"eight","2","0",0
"eight","3","0",2
"eight","4","0",2
"eight","5","0",1
"eight","6","4",5
"eight","7","4",25
"eight","8","4",125
"eight","9","4",23
"eight","10","4",5
"eight","1","4",1
"eight","2","4",1
"eight","3","4",4
"eight","4","4",0
"eight","5","4",0
"eight","6","8",15
"eight","7","8",39
"eight","8","8",129
"eight","9","8",25
"eight","10","8",18
"eight","1","8",0
"eight","2","8",0
"eight","3","8",0
"eight","4","8",4
"eight","5","8",2
"eight","6","12",11
"eight","7","12",52
"eight","8","12",101
"eight","9","12",26
"eight","10","12",8
"eight","1","12",0
"eight","2","12",0
"eight","3","12",2
"eight","4","12",1
"eight","5","12",6
"five","6","0",6
"five","7","0",3
"five","8","0",4
"five","9","0",3
"five","10","0",2
"five","1","0",0
"five","2","0",0
"five","3","0",3
"five","4","0",1
"five","5","0",1
"five","6","4",140
"five","7","4",112
"five","8","4",25
"five","9","4",20
"five","10","4",7
"five","1","4",1
"five","2","4",0
"five","3","4",34
"five","4","4",0
"five","5","4",0
"five","6","8",119
"five","7","8",179
"five","8","8",135
"five","9","8",45
"five","10","8",22
"five","1","8",1
"five","2","8",0
"five","3","8",39
"five","4","8",142
"five","5","8",22
"five","6","12",20
"five","7","12",51
"five","8","12",115
"five","9","12",49
"five","10","12",20
"five","1","12",2
"five","2","12",0
"five","3","12",3
"five","4","12",14
"five","5","12",7
"four","6","0",4
"four","7","0",8
"four","8","0",2
"four","9","0",3
"four","10","0",0
"four","1","0",2
"four","2","0",3
"four","3","0",4
"four","4","0",4
"four","5","0",0
"four","6","4",37
"four","7","4",77
"four","8","4",31
"four","9","4",82
"four","10","4",2
"four","1","4",10
"four","2","4",5
"four","3","4",27
"four","4","4",20
"four","5","4",16
"four","6","8",11
"four","7","8",10
"four","8","8",14
"four","9","8",14
"four","10","8",2
"four","1","8",42
"four","2","8",68
"four","3","8",114
"four","4","8",27
"four","5","8",7
"four","6","12",15
"four","7","12",13
"four","8","12",13
"four","9","12",36
"four","10","12",0
"four","1","12",18
"four","2","12",13
"four","3","12",108
"four","4","12",69
"four","5","12",4
"nine","6","0",1
"nine","7","0",0
"nine","8","0",2
"nine","9","0",2
"nine","10","0",0
"nine","1","0",1
"nine","2","0",0
"nine","3","0",1
"nine","4","0",0
"nine","5","0",0
"nine","6","8",2
"nine","7","8",1
"nine","8","8",26
"nine","9","8",15
"nine","10","8",56
"nine","1","8",0
"nine","2","8",0
"nine","3","8",0
"nine","4","8",3
"nine","5","8",1
"nine","6","12",2
"nine","7","12",15
"nine","8","12",19
"nine","9","12",97
"nine","10","12",48
"nine","1","12",3
"nine","2","12",0
"nine","3","12",1
"nine","4","12",2
"nine","5","12",0
"nine","6","4",0
"nine","7","4",35
"nine","8","4",85
"nine","9","4",50
"nine","10","4",4
"nine","1","4",0
"nine","2","4",0
"nine","3","4",0
"nine","4","4",0
"nine","5","4",0
"one","6","0",1
"one","7","0",0
"one","8","0",1
"one","9","0",0
"one","10","0",0
"one","1","0",1
"one","2","0",1
"one","3","0",13
"one","4","0",0
"one","5","0",0
"one","6","4",9
"one","7","4",37
"one","8","4",4
"one","9","4",5
"one","10","4",1
"one","1","4",0
"one","2","4",0
"one","3","4",10
"one","4","4",4
"one","5","4",1
"one","6","8",8
"one","7","8",23
"one","8","8",4
"one","9","8",6
"one","10","8",0
"one","1","8",1
"one","2","8",8
"one","3","8",189
"one","4","8",79
"one","5","8",2
"one","6","12",3
"one","7","12",8
"one","8","12",11
"one","9","12",22
"one","10","12",0
"one","1","12",0
"one","2","12",5
"one","3","12",162
"one","4","12",28
"one","5","12",1
"seven","6","0",1
"seven","7","0",0
"seven","8","0",1
"seven","9","0",1
"seven","10","0",1
"seven","1","0",0
"seven","2","0",1
"seven","3","0",0
"seven","4","0",0
"seven","5","0",0
"seven","6","4",0
"seven","7","4",0
"seven","8","4",0
"seven","9","4",2
"seven","10","4",0
"seven","1","4",2
"seven","2","4",0
"seven","3","4",0
"seven","4","4",0
"seven","5","4",0
"seven","6","8",0
"seven","7","8",0
"seven","8","8",0
"seven","9","8",0
"seven","10","8",1
"seven","1","8",2
"seven","2","8",0
"seven","3","8",0
"seven","4","8",1
"seven","5","8",0
"seven","6","12",0
"seven","7","12",0
"seven","8","12",0
"seven","9","12",0
"seven","10","12",0
"seven","1","12",0
"seven","2","12",0
"seven","3","12",0
"seven","4","12",1
"seven","5","12",0
"six","6","0",0
"six","7","0",0
"six","8","0",0
"six","9","0",0
"six","10","0",0
"six","1","0",1
"six","2","0",1
"six","3","0",3
"six","4","0",0
"six","5","0",0
"six","6","8",0
"six","7","8",0
"six","8","8",0
"six","9","8",0
"six","10","8",0
"six","1","8",0
"six","2","8",2
"six","3","8",0
"six","4","8",0
"six","5","8",0
"six","6","12",0
"six","7","12",0
"six","8","12",0
"six","9","12",0
"six","10","12",0
"six","1","12",0
"six","2","12",1
"six","3","12",0
"six","4","12",0
"six","5","12",0
"ten","6","0",0
"ten","7","0",0
"ten","8","0",1
"ten","9","0",0
"ten","10","0",0
"ten","1","0",1
"ten","2","0",1
"ten","3","0",0
"ten","4","0",0
"ten","5","0",0
"ten","6","4",0
"ten","7","4",0
"ten","8","4",0
"ten","9","4",0
"ten","10","4",0
"ten","1","4",1
"ten","2","4",2
"ten","3","4",0
"ten","4","4",0
"ten","5","4",0
"ten","6","12",0
"ten","7","12",0
"ten","8","12",0
"ten","9","12",0
"ten","10","12",0
"ten","1","12",3
"ten","2","12",0
"ten","3","12",1
"ten","4","12",1
"ten","5","12",0
"ten","6","8",0
"ten","7","8",0
"ten","8","8",0
"ten","9","8",0
"ten","10","8",0
"ten","1","8",0
"ten","2","8",0
"ten","3","8",2
"ten","4","8",0
"ten","5","8",0
"three","6","0",2
"three","7","0",0
"three","8","0",1
"three","9","0",1
"three","10","0",1
"three","1","0",0
"three","2","0",1
"three","3","0",0
"three","4","0",0
"three","5","0",0
"three","6","4",36
"three","7","4",45
"three","8","4",24
"three","9","4",53
"three","10","4",6
"three","1","4",3
"three","2","4",0
"three","3","4",3
"three","4","4",0
"three","5","4",2
"three","6","8",17
"three","7","8",34
"three","8","8",30
"three","9","8",29
"three","10","8",22
"three","1","8",3
"three","2","8",2
"three","3","8",1
"three","4","8",2
"three","5","8",2
"three","6","12",63
"three","7","12",68
"three","8","12",60
"three","9","12",120
"three","10","12",70
"three","1","12",1
"three","2","12",1
"three","3","12",0
"three","4","12",0
"three","5","12",3
"two","6","8",1
"two","7","8",24
"two","8","8",5
"two","9","8",0
"two","10","8",0
"two","1","8",2
"two","2","8",0
"two","3","8",1
"two","4","8",3
"two","5","8",0
"two","6","12",4
"two","7","12",7
"two","8","12",0
"two","9","12",0
"two","10","12",0
"two","1","12",1
"two","2","12",0
"two","3","12",0
"two","4","12",4
"two","5","12",0
"two","6","0",0
"two","7","0",2
"two","8","0",0
"two","9","0",1
"two","10","0",0
"two","1","0",0
"two","2","0",1
"two","3","0",1
"two","4","0",1
"two","5","0",2
"two","6","4",0
"two","7","4",8
"two","8","4",0
"two","9","4",0
"two","10","4",0
"two","1","4",1
"two","2","4",0
"two","3","4",1
"two","4","4",2
"two","5","4",1
"six","6","4",0
"six","7","4",0
"six","8","4",0
"six","9","4",0
"six","10","4",0
"six","1","4",0
"six","2","4",0
"six","3","4",0
"six","4","4",0
"six","5","4",0
